date,employee_id,project_id,hours_logged,activity_type,task,hourly_cost_eur
2025-10-01,E001,P011,3.3,billable,Project Management,54.42
2025-10-01,E001,P002,4.7,billable,Ops/Admin,54.42
2025-10-02,E001,P002,3.7,billable,Design,54.42
2025-10-02,E001,P011,4.3,non_billable,Design,54.42
2025-10-03,E001,P006,3.3,non_billable,Implementation,54.42
2025-10-03,E001,P007,3.1,billable,Documentation,54.42
2025-10-06,E001,P009,3.1,billable,Documentation,54.42
2025-10-06,E001,INTERNAL,2.2,non_billable,Project Management,54.42
2025-10-06,E001,P012,2.0,billable,Project Management,54.42
2025-10-07,E001,P010,2.5,non_billable,Project Management,54.42
2025-10-07,E001,INTERNAL,1.9,non_billable,Research,54.42
2025-10-07,E001,P011,3.6,billable,Analysis,54.42
2025-10-08,E001,P009,3.1,billable,Ops/Admin,54.42
2025-10-08,E001,P003,4.0,non_billable,QA/Testing,54.42
2025-10-09,E001,P011,2.4,billable,Design,54.42
2025-10-09,E001,P002,5.4,billable,Project Management,54.42
2025-10-10,E001,P002,4.1,non_billable,Project Management,54.42
2025-10-10,E001,P006,3.8,billable,Implementation,54.42
2025-10-13,E001,P007,2.0,billable,Ops/Admin,54.42
2025-10-13,E001,P010,6.0,billable,Client Meeting,54.42
2025-10-14,E001,INTERNAL,1.6,non_billable,Sales/Prospecting,54.42
2025-10-14,E001,P004,4.8,non_billable,Ops/Admin,54.42
2025-10-15,E001,INTERNAL,2.6,non_billable,Sales/Prospecting,54.42
2025-10-15,E001,INTERNAL,5.4,non_billable,Research,54.42
2025-10-16,E001,P003,2.4,non_billable,Sales/Prospecting,54.42
2025-10-16,E001,P009,5.1,non_billable,Ops/Admin,54.42
2025-10-17,E001,INTERNAL,2.3,non_billable,Project Management,54.42
2025-10-17,E001,P009,4.7,non_billable,Analysis,54.42
2025-10-20,E001,P009,3.5,billable,QA/Testing,54.42
2025-10-20,E001,P009,4.0,billable,Implementation,54.42
2025-10-21,E001,P004,1.9,billable,Implementation,54.42
2025-10-21,E001,INTERNAL,2.5,non_billable,Analysis,54.42
2025-10-21,E001,P004,3.1,non_billable,QA/Testing,54.42
2025-10-22,E001,P009,3.1,non_billable,Research,54.42
2025-10-22,E001,P007,1.5,non_billable,Documentation,54.42
2025-10-22,E001,P009,3.3,non_billable,Project Management,54.42
2025-10-23,E001,P006,3.2,billable,Sales/Prospecting,54.42
2025-10-23,E001,P006,3.7,billable,QA/Testing,54.42
2025-10-24,E001,INTERNAL,3.5,non_billable,Research,54.42
2025-10-24,E001,P009,1.7,non_billable,Implementation,54.42
2025-10-24,E001,P012,2.8,non_billable,Ops/Admin,54.42
2025-10-27,E001,P004,1.8,non_billable,Documentation,54.42
2025-10-27,E001,P002,4.9,billable,Documentation,54.42
2025-10-28,E001,P004,1.8,billable,Client Meeting,54.42
2025-10-28,E001,P007,5.3,billable,Client Meeting,54.42
2025-10-29,E001,INTERNAL,3.7,non_billable,Sales/Prospecting,54.42
2025-10-29,E001,P010,3.3,billable,Project Management,54.42
2025-10-30,E001,INTERNAL,3.9,non_billable,Implementation,54.42
